ProjectID,Wiki,TerminalName,FacilityType,Status,Country,Capacity,CapacityUnits,CapacityInBcm/y,StartYearEarliest,Location,State/Province,Latitude,Longitude,CostUSD,LastUpdated
0,https://www.gem.wiki/Portovesme_FSRU,Portovesme FSRU,Import,Proposed,Italy,,,--,2024,Portovesme,,39.195612,8.391925,283000000,2024-07-31
0,https://www.gem.wiki/Hai_Lang_LNG_Terminal,Hai Lang LNG Terminal,Import,Construction,Vietnam,1.5,mtpa,2.04,2026,,Quảng Trị,16.9944,107.1154,--,2024-07-16
0,https://www.gem.wiki/Vung_Ang_LNG_Terminal,Vung Ang LNG Terminal,Import,Proposed,Vietnam,,,--,--,Kỳ Lợi commune,Hà Tĩnh Province,18.09792,106.38123,--,2024-07-16
0,https://www.gem.wiki/Porto_Torres_FSRU,Porto Torres FSRU,Import,Proposed,Italy,5,bcm/y,5,2023,Porto Torres,Sassari,40.842386,8.399781,--,2024-07-31
1,https://www.gem.wiki/Tiga_FLNG_Terminal,Tiga FLNG Terminal,Export,Construction,Malaysia,2,mtpa,2.72,2027,,Sabah,5.968,118.215,2020000000,2024-07-12
0,https://www.gem.wiki/Inkoo_FSRU,Inkoo FSRU,Import,Operating,Finland,5,bcm/y,5,2023,Inkoo port,Southern Finland,60.013697,23.91506,501400000,2024-07-24
0,https://www.gem.wiki/Thilawa_LNG_Terminal,Thilawa LNG Terminal,Import,Cancelled,Myanmar,,,--,2026,Thilawa Economic Zone of Yangon,,16.6181383,96.2668211,2000000000,2024-07-12
1,https://www.gem.wiki/Arctic_LNG_3_Terminal,Arctic LNG 3 Terminal,Export,Proposed,Russia,19.8,mtpa,26.93,2032,Ob Bay,,72.56577,73.847129,--,2024-04-23
1,https://www.gem.wiki/Kara_LNG_Terminal,Kara LNG Terminal,Export,Proposed,Russia,30,mtpa,40.8,2030,Novaya Zemlya,,70.7893987,55.18380898,--,2024-04-23
1,https://www.gem.wiki/Lakach_Field_FLNG_Terminal,Lakach Field FLNG Terminal,Export,Shelved,Mexico,1.4,mtpa,1.9,2024,Offshore Veracruz,Veracruz,19.2933,-95.4018,--,2024-09-05
1,https://www.gem.wiki/New_Fortress_Altamira_FLNG_Terminal,New Fortress Altamira FLNG Terminal,Export,Operating,Mexico,1.4,mtpa,1.9,2024,Offshore Altamira,Tamaulipas,22.6543,-97.68048,433333333,2024-09-05
2,https://www.gem.wiki/New_Fortress_Altamira_FLNG_Terminal,New Fortress Altamira FLNG Terminal,Export,Construction,Mexico,1.4,mtpa,1.9,2026,Altamira,Tamaulipas,22.6543,-97.68048,700000000,2024-09-05
3,https://www.gem.wiki/New_Fortress_Altamira_FLNG_Terminal,New Fortress Altamira FLNG Terminal,Export,Proposed,Mexico,1.4,mtpa,1.9,--,Altamira,Tamaulipas,22.6543,-97.68048,433333333,2024-09-05
4,https://www.gem.wiki/New_Fortress_Altamira_FLNG_Terminal,New Fortress Altamira FLNG Terminal,Export,Proposed,Mexico,1.4,mtpa,1.9,--,Altamira,Tamaulipas,22.6543,-97.68048,--,2024-09-05
5,https://www.gem.wiki/New_Fortress_Altamira_FLNG_Terminal,New Fortress Altamira FLNG Terminal,Export,Proposed,Mexico,1.4,mtpa,1.9,--,Altamira,Tamaulipas,22.6543,-97.68048,--,2024-09-05
0,https://www.gem.wiki/Palu_LNG_Terminal,Palu LNG Terminal,Import,Shelved,Indonesia,2,mtpa,2.72,--,Palu,Central Sulawesi,-0.71358,119.86043,--,2024-07-12
